"","ResponseId","Q2","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15_1","Q15_2","Q15_3","Q16_1","Q16_2","Q16_3","Q17_1","Q17_2","Q17_3","Q17_4","Q18","Q19","Q20","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q21_9","Q22_1","Q22_2","Q22_3","Q23_1","Q23_2","Q23_3","Q24","Q25a","Q25b","Q26","Q27","Q28","Q29_1","Q29_2","Q29_3","Q29_4","Q29_5","Q29_6","Q29_7","Q29_8","Q29_9","Q29_10","Q29_11"
"34","R_3fDh48FLteKdZrM",1,1,2,2,2,4,1,5,1,2,NA,2,3,1,1,1,1,2,1,1,4,4,2,5,1,5,1,1,1,1,1,1,2,2,1,1,5,1,1,1,3,1,NA,4,4,1,1,5,1,1,1,4,1,1,1,1,1
"35","R_1rACPIcO0LGMgBj",1,2,2,2,3,2,1,2,1,2,NA,2,1,1,1,2,2,1,2,2,1,2,4,4,4,1,1,5,1,1,1,4,2,5,3,3,3,1,1,2,3,2,NA,2,2,1,1,2,2,2,4,5,2,2,1,2,2
"36","R_3hFaiJiQZixiaAW",1,2,1,2,2,2,1,1,1,2,NA,2,3,3,3,1,1,1,1,1,2,3,5,5,1,3,5,5,3,1,1,1,1,1,2,2,2,5,2,1,3,5,NA,3,4,2,1,1,4,1,1,1,5,5,NA,1,5
"37","R_s5oDvSXiaUyYutz",2,2,2,2,3,4,2,1,1,2,NA,2,1,1,1,2,1,2,4,2,1,2,4,2,3,5,4,3,1,1,3,5,4,3,4,3,2,1,1,2,2,7,2,2,4,2,2,2,4,2,1,1,4,5,2,2,4
"38","R_3Esf2xHse03THlX",1,2,1,2,4,NA,2,3,1,2,NA,1,3,1,1,2,2,1,2,2,1,2,NA,5,1,5,2,2,1,1,1,4,3,5,2,1,2,5,NA,1,4,1,NA,2,3,1,1,4,2,1,2,5,2,2,2,1,3
"39","R_10qROq2ym9NJnkR",1,1,1,2,3,6,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,3,5,5,2,5,2,1,1,1,1,1,2,5,1,1,1,5,3,1,4,1,NA,2,2,1,1,2,2,2,2,5,2,2,2,2,5
"40","R_1MYyEJCtaNYAabD",2,2,2,2,4,NA,1,1,1,2,NA,1,1,1,1,2,2,2,2,4,1,3,5,5,3,5,4,4,1,1,1,4,4,4,1,3,4,3,3,1,4,1,NA,1,1,1,1,5,2,1,5,5,2,2,1,1,2
"41","R_3oASgL2yzGyjDbH",1,1,2,2,4,NA,2,5,1,1,2,1,2,1,2,2,2,2,1,1,1,3,4,4,1,5,2,2,1,1,1,1,1,4,3,3,3,1,1,4,2,6,NA,3,2,1,2,2,3,1,3,4,2,3,2,4,4
"42","R_svWXbzFLRnSjBpn",3,2,2,2,2,5,1,2,1,1,1,2,2,1,1,2,1,2,2,1,1,2,3,4,1,5,5,2,1,1,1,5,1,4,3,2,1,2,4,2,2,1,NA,1,4,2,2,5,2,1,5,5,2,2,2,2,4
"43","R_2Tw4seH8stWLF8a",2,2,2,1,2,1,1,3,2,NA,NA,2,2,2,2,2,1,2,3,2,1,3,3,1,5,5,1,5,1,1,1,5,3,5,5,3,1,2,2,5,1,5,NA,3,5,1,2,2,2,2,1,1,5,4,4,5,5
"44","R_1dGZN2rT4Da9V6x",1,2,2,2,3,4,2,2,1,2,NA,2,2,2,1,1,1,1,2,2,1,1,4,5,2,4,1,NA,4,1,1,5,5,5,4,2,1,4,5,2,4,7,2,1,2,1,1,5,4,1,2,4,2,2,2,5,5
"45","R_86syIG0XYka7bUZ",1,2,1,2,4,NA,2,1,1,2,NA,2,1,1,1,2,1,2,2,1,1,2,3,2,2,5,2,1,2,5,5,5,2,2,4,2,1,1,4,1,2,3,NA,4,2,1,2,2,2,1,2,1,2,2,2,2,2
"46","R_3n2YTrXKzyEraKK",3,1,1,1,2,NA,2,5,2,NA,NA,2,3,3,3,2,2,2,2,2,2,2,4,2,1,5,4,1,1,1,5,3,1,3,2,2,1,1,1,1,1,1,NA,5,4,2,4,4,2,3,1,1,5,1,4,3,4
"47","R_1jeQzTSEpSikxV6",1,2,1,2,3,4,1,1,1,2,NA,2,1,1,1,2,2,2,2,2,1,2,3,2,3,5,1,4,1,1,1,5,5,4,4,3,2,5,4,4,4,1,NA,1,4,2,2,5,2,1,4,5,2,2,1,1,2
"48","R_8nLA3SrVVg5C9yx",3,2,2,2,3,6,1,1,1,2,NA,1,1,1,1,2,1,1,1,2,1,3,4,1,1,5,3,5,1,1,1,5,1,2,5,2,1,1,2,1,3,3,NA,2,2,1,1,5,1,1,2,4,1,1,1,1,1
"49","R_0UQKrkoaODKvASR",1,2,2,2,3,4,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,3,5,5,1,5,5,3,1,4,2,1,1,4,2,2,3,1,2,1,4,2,NA,1,5,1,1,5,1,1,5,5,1,1,1,2,1
"50","R_12FkHUs5NLp3fd9",3,2,2,2,4,NA,2,1,2,NA,NA,2,2,1,1,2,1,2,2,2,2,2,5,2,1,5,2,5,1,1,1,5,4,3,4,3,2,3,3,3,2,3,NA,3,3,2,2,3,2,2,5,5,3,2,2,2,2
"51","R_1jrgdQ4ik7j9JIS",1,2,2,2,3,1,2,5,1,2,NA,1,1,1,1,2,2,1,4,1,1,4,1,1,2,5,5,1,1,1,1,4,4,5,5,1,1,1,3,5,4,1,NA,1,3,2,1,5,1,1,5,5,1,1,1,1,1
"52","R_2U8XAs89MM1CVa3",1,2,2,2,3,4,1,1,1,2,NA,2,1,1,1,2,1,2,3,3,3,3,5,5,2,5,1,4,1,1,1,5,1,5,1,1,1,1,1,1,3,4,NA,2,3,1,1,5,1,1,5,5,2,1,1,1,1
"53","R_aY1eotjOKV9c23f",3,2,2,2,3,5,1,4,2,NA,NA,2,1,1,1,2,2,2,3,2,1,4,4,1,1,5,1,2,4,1,1,1,1,2,4,2,1,1,4,3,4,1,NA,3,5,2,1,5,5,1,2,4,2,2,2,1,5
"54","R_0AqCovykFpcuhln",1,2,2,2,3,4,1,1,1,1,2,1,1,1,1,2,2,2,2,3,1,4,4,5,1,5,5,1,1,1,1,1,2,4,2,2,3,5,5,1,4,1,NA,1,2,1,1,5,1,1,5,5,1,1,1,1,2
"55","R_2dKMT5tFF4Z9omm",1,2,2,2,2,2,2,1,2,NA,NA,2,1,1,1,2,1,2,1,3,1,4,3,5,1,5,4,1,1,1,1,1,1,1,3,2,2,2,5,1,4,3,NA,3,5,1,1,2,2,1,2,5,2,2,1,1,1
"56","R_1NkUGD3NIRtrgEc",1,2,1,2,4,NA,2,3,1,2,NA,1,1,1,1,2,2,2,1,1,3,3,5,5,1,5,4,3,1,1,2,2,2,4,4,2,4,4,2,2,3,1,NA,2,4,1,1,4,4,1,2,5,2,4,2,2,5
"57","R_xaADSTWiub6GrMB",2,2,2,2,4,NA,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,4,4,5,1,5,4,1,1,2,2,2,1,1,4,2,3,4,5,1,4,2,NA,2,4,1,1,3,1,2,3,2,1,1,2,1,1
"58","R_3h6GWodzT3S0uqi",2,2,1,2,4,NA,2,5,2,NA,NA,2,1,1,1,1,1,1,2,2,1,4,5,3,1,5,1,4,1,1,1,5,4,2,5,1,1,2,2,4,1,2,NA,2,4,2,1,5,2,2,2,4,4,4,2,2,2
"59","R_3O63thS8P0Y6QPf",1,2,2,2,4,NA,2,2,1,1,2,1,1,1,1,2,2,2,4,4,3,4,5,5,1,5,5,3,1,3,1,2,3,3,3,2,2,5,2,1,2,3,NA,3,2,1,1,2,2,1,2,2,2,4,2,2,1
"60","R_3KTT66zzD9IdbuB",1,2,2,2,4,NA,2,5,1,2,NA,2,1,1,1,2,2,2,4,4,1,2,3,1,3,1,1,5,1,2,1,5,5,5,5,1,1,4,5,5,2,4,NA,3,4,2,1,5,5,5,5,5,4,4,2,2,2
"61","R_xbGaoBNyvXQvDxv",1,1,2,2,4,NA,2,3,1,1,2,2,1,1,1,2,2,2,1,1,1,3,4,5,2,5,5,1,1,1,1,2,2,1,4,2,4,5,1,4,3,3,NA,3,2,1,2,4,2,1,5,5,4,2,2,2,2
"62","R_3OcdZUocGqpCmF6",1,2,2,2,3,4,1,5,2,NA,NA,2,1,1,1,2,1,2,2,2,1,1,3,1,3,5,1,5,1,1,1,2,5,5,4,4,2,1,5,1,2,3,NA,2,1,1,1,5,1,1,5,5,1,2,1,1,5
"63","R_4ZrJ9qGNgZ9UYnL",3,1,1,2,3,1,2,5,2,NA,NA,2,1,1,1,2,1,1,2,2,1,2,3,3,5,5,1,2,2,1,1,2,2,4,5,1,1,2,5,2,2,6,NA,3,3,2,1,5,2,5,5,2,1,2,1,1,1
"64","R_7WhCjFsBzWh9Cx3",3,NA,1,NA,3,5,1,2,1,NA,NA,1,NA,1,2,1,1,1,4,3,2,4,4,5,2,NA,2,2,4,3,2,2,2,3,2,2,2,1,3,3,2,NA,NA,3,4,2,2,2,3,1,2,2,4,2,2,2,5
"65","R_27IE9dJ4Zj6t0iw",1,2,2,2,3,4,1,2,2,NA,NA,2,2,2,3,2,2,1,2,2,1,2,4,1,4,5,5,5,2,1,1,5,4,5,5,2,1,2,2,1,3,4,NA,3,2,1,1,2,2,2,2,3,2,2,1,2,1
"66","R_qOpS9KJbALQVdkZ",1,2,2,2,4,NA,2,1,1,2,NA,2,1,1,1,2,2,2,4,2,1,2,1,1,5,4,1,5,1,1,1,5,5,5,5,4,4,1,1,5,NA,NA,NA,NA,NA,1,1,5,1,1,5,5,1,1,1,1,1
"67","R_3lQSjT9TdoTAaLg",NA,2,2,2,3,4,1,2,2,NA,NA,1,1,1,1,2,2,2,4,3,1,3,NA,2,5,5,1,5,1,1,1,5,5,5,NA,NA,NA,1,1,5,4,2,NA,2,2,1,1,5,1,1,1,2,NA,NA,NA,NA,NA
"68","R_ekvQYkcnqBJa1TH",1,2,1,1,2,6,2,1,2,NA,NA,2,3,3,3,2,1,2,3,3,1,1,4,1,1,5,2,1,2,2,1,3,2,2,4,2,2,1,2,5,1,5,NA,4,4,2,4,2,4,2,1,1,4,4,4,4,5
"69","R_1MXsVueEMLlqz6Y",1,2,2,2,3,5,2,4,2,NA,NA,2,1,1,1,2,2,2,4,3,1,4,1,2,5,4,1,5,1,1,1,5,5,5,5,4,2,1,2,5,4,7,2,1,3,2,1,5,2,2,5,5,2,2,2,1,2
"70","R_2pYxWZAKGlzvNzz",2,2,2,2,4,NA,2,4,2,NA,NA,1,1,1,1,2,2,2,2,2,1,2,5,5,3,5,5,1,2,2,2,5,4,2,3,2,2,1,5,1,4,1,NA,1,3,1,1,5,3,1,5,5,3,3,2,3,4
"71","R_3oYGjcFEuw3Q4Bo",1,2,2,2,2,3,1,1,1,2,NA,2,3,3,1,2,2,1,2,3,2,3,4,4,4,5,1,2,1,1,1,5,5,4,3,3,3,5,5,1,1,1,NA,2,4,1,2,5,1,2,2,1,1,1,2,2,5
"72","R_UfovXFDZla15PxL",1,2,2,2,4,NA,2,5,1,1,1,1,1,1,1,2,1,2,2,2,1,2,3,3,3,5,4,4,2,1,1,4,4,3,4,2,2,2,3,3,2,3,NA,3,2,1,1,5,3,1,2,3,3,3,1,3,4
"73","R_1jTK7mHd1UcPlKh",1,1,2,1,3,4,1,1,1,1,2,1,3,3,3,2,2,2,3,3,1,1,5,1,1,5,5,1,1,1,4,5,1,1,5,2,1,1,1,1,4,4,NA,5,2,1,1,5,2,1,1,2,2,5,5,5,2
"74","R_DSO2jGaBhyLQX2F",1,2,2,2,4,NA,1,1,2,NA,NA,2,3,2,1,2,2,2,4,4,1,2,2,2,5,1,1,5,1,1,1,5,5,5,4,3,3,1,1,4,2,2,NA,3,4,2,2,5,3,1,4,4,2,2,2,4,5
"75","R_3k5NxK2Oc4kjwAx",1,2,2,2,3,2,2,1,2,NA,NA,2,1,1,1,2,2,1,3,3,1,2,4,2,5,3,1,3,1,1,1,5,3,4,4,3,2,2,4,5,2,4,NA,3,2,1,1,5,3,1,2,2,1,1,1,1,1
"76","R_2R8S27Djxfj15MV",1,2,2,2,3,4,1,1,2,NA,NA,2,1,1,1,2,2,1,3,2,1,2,4,1,5,5,1,1,1,1,1,4,5,5,4,2,1,2,2,2,3,3,NA,3,4,1,1,5,2,1,5,5,2,2,1,1,1
"77","R_cBAF4DlOwiJXgml",3,2,2,2,4,NA,1,1,2,NA,NA,1,2,1,1,1,1,2,2,2,2,4,5,5,1,5,2,1,1,1,1,1,2,1,4,2,1,1,1,2,4,7,2,1,3,1,1,4,2,2,2,2,1,2,2,2,2
"78","R_3FJzaHzrR1DvWj8",1,2,2,2,4,NA,2,1,2,NA,NA,1,1,1,1,2,1,1,3,3,3,3,3,3,3,5,1,4,1,1,1,2,5,3,3,2,2,1,2,2,4,2,NA,2,1,1,1,4,1,2,2,3,2,2,2,2,2
"79","R_2WAzmwpdQ5VXxMo",2,2,2,2,1,5,2,1,2,NA,NA,2,1,1,1,2,2,2,1,1,1,1,1,1,5,5,1,1,1,1,1,5,2,5,5,1,1,5,2,1,2,2,NA,3,2,1,1,5,1,1,5,5,1,1,1,1,2
"80","R_3NPU1xpdXgTGNFk",3,2,2,2,2,4,2,5,2,NA,NA,2,1,1,3,2,1,2,4,1,1,4,1,1,5,2,1,5,1,1,1,5,5,5,5,4,1,1,1,5,4,1,NA,2,4,2,1,2,4,4,2,2,3,4,4,2,5
"81","R_UszrULIGTodWqOt",3,1,2,2,3,4,1,2,1,2,NA,1,1,1,1,2,1,1,1,1,1,2,4,3,1,5,2,1,1,1,1,2,4,2,5,1,1,3,3,2,4,1,NA,1,4,1,1,4,2,1,5,5,2,2,1,1,1
"82","R_xheLRPb9Q2LUg2R",1,2,2,2,3,3,2,5,2,NA,NA,2,1,1,1,2,2,2,1,1,1,1,5,5,1,5,5,1,1,1,1,1,1,1,3,3,4,4,2,1,4,1,NA,1,3,1,1,5,1,1,5,5,1,1,1,1,2
"83","R_3kb66Vaau14bS6m",1,2,1,2,1,5,2,1,2,NA,NA,2,1,1,1,2,1,2,3,3,2,2,4,4,2,5,2,3,1,1,1,1,2,1,3,3,3,4,2,1,4,1,NA,1,3,1,1,4,1,1,5,5,2,1,1,2,2
"84","R_31ydlm7rtHT6fcg",3,1,1,2,4,NA,2,5,1,1,2,1,3,3,1,2,1,2,1,3,1,3,5,5,1,5,5,4,1,1,2,3,2,4,4,2,1,2,5,2,2,2,NA,3,5,2,1,4,2,2,4,4,4,4,2,4,4
"85","R_1OvEf7KD5KGsj21",2,2,2,2,3,1,2,5,1,1,1,1,1,1,1,2,2,1,2,4,4,4,4,5,1,5,5,4,1,1,1,2,2,2,2,2,2,2,4,2,4,1,NA,2,3,1,2,2,2,2,2,4,2,2,2,2,4
"86","R_2cdRGzdEeVTpvmR",1,2,2,2,4,NA,2,1,3,NA,NA,1,1,1,1,2,1,2,3,2,1,2,4,4,3,5,5,4,1,1,1,3,4,5,3,4,4,4,3,3,4,5,NA,2,5,1,1,5,1,1,3,4,2,2,2,2,4
"87","R_1qfuSGxOxGITlpn",1,2,2,2,3,4,1,3,2,NA,NA,2,1,1,1,2,2,2,2,2,3,2,5,5,1,5,5,5,1,4,1,1,4,4,2,1,2,2,1,2,2,3,NA,2,3,1,1,5,1,1,4,5,2,1,1,1,2
"88","R_2QfvS88AjU5CAkV",2,2,2,2,3,4,1,2,2,NA,NA,2,1,2,1,2,2,2,3,3,1,1,2,2,5,4,1,5,1,1,1,5,5,5,4,3,3,1,3,3,3,2,NA,2,3,2,1,2,2,1,4,5,2,1,1,1,2
"89","R_2t9buZDujOFlBMn",1,2,2,2,3,4,1,2,2,NA,NA,2,1,1,1,2,2,2,4,1,1,2,3,2,5,1,1,5,1,1,1,5,5,5,3,3,3,2,3,4,4,2,NA,1,4,1,1,4,2,2,5,5,1,1,1,1,1
"90","R_2QSQhdDcc1yO3Qa",1,1,2,1,3,2,2,1,2,NA,NA,2,2,2,3,2,2,2,NA,1,NA,2,2,5,3,3,3,4,1,1,1,2,1,4,5,1,3,4,2,4,2,2,NA,1,NA,1,2,2,4,4,2,2,2,4,4,4,4
"91","R_2uy5Gh7YfutBhgg",1,2,2,2,4,NA,2,2,2,NA,NA,2,1,1,1,2,2,2,3,1,1,3,3,5,4,4,1,5,1,1,1,4,4,4,1,1,1,2,4,1,2,3,NA,3,1,1,1,5,4,1,5,4,4,4,2,2,2
"92","R_1pyt86GvVAAoyXN",1,2,1,2,2,3,2,2,2,NA,NA,2,1,1,1,2,1,2,2,1,1,1,3,2,5,5,1,4,1,1,1,5,5,4,4,3,3,2,2,4,4,1,NA,1,4,1,2,5,1,1,2,4,2,2,2,2,4
"93","R_dhxAZbTHzonHJ5v",1,2,2,2,4,NA,2,3,2,NA,NA,2,3,1,1,2,1,2,4,3,1,3,3,4,5,2,1,4,1,1,1,2,2,4,3,3,3,1,2,2,1,6,NA,3,1,1,2,1,2,1,4,5,4,5,4,4,4
"94","R_1FS8BpiLeWTa8jF",2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,2,5,5,1,5,5,2,1,1,2,1,1,2,4,2,2,1,2,1,2,3,NA,3,4,1,1,4,4,2,2,3,3,3,2,2,4
"95","R_1jNEnYjUCKkP0Ji",1,2,2,2,3,6,1,1,2,NA,NA,NA,1,1,1,2,2,2,4,4,3,4,4,2,1,5,5,3,1,1,2,2,3,3,NA,2,2,3,3,1,2,6,NA,4,2,1,2,5,1,1,3,3,3,4,2,2,2
"96","R_2xVhToo6YSaDJUp",1,2,1,1,4,NA,2,1,1,2,NA,1,1,1,2,2,2,2,3,3,1,2,4,1,4,1,2,5,2,1,2,5,NA,5,5,2,1,1,1,5,3,4,NA,3,4,2,2,4,3,2,3,3,3,4,2,2,3
"97","R_3kaFhXkznRXD0HV",3,2,1,2,3,4,1,1,1,2,NA,1,1,1,1,2,2,2,2,2,2,3,5,5,1,5,5,1,1,1,1,1,1,3,1,3,5,1,1,1,3,4,NA,3,4,1,2,1,1,2,4,4,2,2,2,1,4
